Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
,3659058,01/21/2025 17:45,01/22/2025 15:43,USDCHF,Buy,0.200,0.90592,0.90702,0.90754,0.90590,0.0000,1.1600,-16.4,-28.17,-0.20,"{7826001}                      ",100,00:21:58:27,,,,,,,,,,,,
,3752789,01/22/2025 12:31,01/22/2025 15:38,USDCHF,Buy,0.200,0.90418,0.90592,0.90349,0.90597,0.0000,0.0000,24.8,44.37,0.31,"{7851584}                      ",100,00:03:06:16,91.0,2h 49m,10.7,0.07,26.0,46.54,-1.9,-3.401,93.2,95.7,-1.20,-2.15
,3631497,01/21/2025 11:45,01/21/2025 16:41,AUDCAD,Buy,0.220,0.90000,0.90264,0.89864,0.90002,0.0000,0.0000,13.8,17.15,0.12,"from #3601035",100,00:04:56:30,56.5,2h 47m,13.6,0.32,27.4,33.976,-8.8,-10.912,75.7,62.4,-13.60,-16.86
,3601035,01/21/2025 11:45,01/21/2025 15:41,AUDCAD,Buy,0.100,0.00000,0.90264,0.89864,0.90008,0.0000,0.0000,14.4,8.13,0.06,"{7809804}                      ",100,00:03:56:51,45.4,1h 47m,11.6,0.57,15.4,8.624,-8.8,-4.928000000000001,63.6,95.9,-1.00,-0.56
,3532985,01/21/2025 03:31,01/21/2025 06:09,NZDUSD,Buy,0.350,0.56516,0.56965,0.56465,0.56516,0.0000,0.0000,5.1,14.52,0.10,"{7794481}                      ",100,00:02:38:34,76.6,2h 1m,15.7,0.59,20.8,59.28,-12.3,-35.055,62.8,52.6,-15.70,-44.75
,3482084,01/20/2025 16:00,01/21/2025 02:49,AUDCAD,Buy,0.310,0.89711,0.90111,0.89716,0.89703,0.0000,0.0700,-1.3,-2.21,-0.02,"{7769976}                      ",100,00:10:49:24,45.8,4h 57m,22.7,0.96,15.2,26.599999999999998,-14.6,-25.55,51.0,44.6,-16.50,-28.88
,3378391,01/17/2025 17:15,01/17/2025 19:40,USDCAD,Buy,0.140,1.44189,1.44427,1.43985,1.44311,0.0000,0.0000,32.6,25.97,0.18,"from #3371536",100,00:02:25:03,97.3,2h 21m,15.5,0.04,37.1,29.680000000000003,-1.5,-1.2000000000000002,96.1,88.3,-4.50,-3.60
,3371536,01/17/2025 17:15,01/17/2025 18:56,USDCAD,Buy,0.060,1.44052,1.44427,1.43985,1.44208,0.0000,0.0000,22.3,7.61,0.05,"to #3378391",100,00:01:41:02,96.1,1h 37m,15.5,0.07,23.0,7.82,-1.5,-0.51,93.9,97.1,-0.70,-0.24
,3315617,01/17/2025 02:15,01/17/2025 09:48,AUDNZD,Buy,0.210,1.10845,1.11050,1.10752,1.10976,0.0000,0.0000,22.4,21.61,0.15,"from #3295114",100,00:07:33:11,60.0,4h 31m,16.3,0.57,25.0,24.0,-14.2,-13.632,63.8,93.4,-2.60,-2.50
,3295114,01/17/2025 02:15,01/17/2025 08:12,AUDNZD,Buy,0.100,1.10772,1.11050,1.10752,1.10926,0.0000,0.0000,17.4,7.96,0.06,"to #3315617",100,00:05:57:33,49.2,2h 55m,16.3,0.82,17.4,8.004,-14.2,-6.532,55.1,100.0,0.00,0.00
,3216623,01/16/2025 04:00,01/16/2025 15:30,AUDNZD,Buy,0.210,1.10799,1.11055,1.10734,1.10744,0.0000,0.0000,1.0,0.96,0.01,"from #3195013[sl]",100,00:11:29:19,65.0,7h 28m,19.9,0.63,20.9,20.063999999999997,-13.2,-12.671999999999999,61.3,41.6,-19.90,-19.10
,3195013,01/16/2025 04:00,01/16/2025 10:39,AUDNZD,Buy,0.100,1.10749,1.11055,1.10734,1.10904,0.0000,0.0000,17.0,7.81,0.06,"to #3216623",100,00:06:38:46,39.3,2h 36m,16.8,0.74,17.9,8.234,-13.2,-6.072,57.6,97.1,-0.90,-0.41
,3081635,01/15/2025 07:30,01/15/2025 10:27,USDCAD,Sell,0.070,1.43455,1.43177,1.43578,1.43454,0.0000,0.0000,12.4,4.95,0.03,"from #3079084",100,00:02:56:58,54.3,1h 36m,15.0,0.18,27.4,10.96,-5.0,-2.0,84.6,53.7,-15.00,-6.00
,3079084,01/15/2025 07:30,01/15/2025 10:12,USDCAD,Sell,0.080,1.43455,1.43177,1.43578,1.43342,0.0000,0.0000,23.6,10.76,0.08,"to #3081635",100,00:02:42:24,50.0,1h 21m,5.7,0.18,27.4,12.604,-5.0,-2.3000000000000003,84.6,88.3,-3.80,-1.75
,3067577,01/15/2025 07:30,01/15/2025 09:57,USDCAD,Sell,0.070,1.43575,1.43177,1.43578,1.43422,0.0000,0.0000,15.6,6.22,0.04,"to #3079084",100,00:02:27:05,44.9,1h 6m,5.0,0.31,16.0,6.4,-5.0,-2.0,76.2,98.1,-0.40,-0.16
,2929495,01/14/2025 01:31,01/14/2025 14:10,AUDUSD,Sell,0.350,0.61876,0.61715,0.61975,0.61728,0.0000,0.0000,24.7,71.03,0.50,"{7537961}                      ",100,00:12:39:14,92.0,11h 38m,23.6,0.24,28.2,81.216,-6.8,-19.584,80.6,90.0,-3.50,-10.08
,2866635,01/13/2025 15:31,01/14/2025 14:10,AUDUSD,Sell,0.350,0.00000,0.61715,0.61545,0.61728,0.0000,-0.0400,-18.3,-52.67,-0.37,"{7520047}                      ",100,00:22:39:15,11.2,2h 32m,57.5,6.47,7.7,22.176,-49.8,-143.42399999999998,13.4,54.8,-26.00,-74.88
,2820555,01/13/2025 02:01,01/13/2025 14:56,NZDUSD,Sell,0.130,0.55579,0.55177,0.55627,0.55579,0.0000,0.0000,4.8,5.14,0.04,"from #2771623[sl]",100,00:12:54:53,74.6,9h 38m,14.4,0.46,19.1,20.437,-8.8,-9.416000000000002,68.5,48.7,-14.30,-15.30
,2771623,01/13/2025 02:01,01/13/2025 11:22,NZDUSD,Sell,0.260,0.00000,0.55177,0.55627,0.55513,0.0000,0.0000,11.4,24.44,0.17,"to #2820555",100,00:09:20:49,64.9,6h 3m,14.4,0.46,19.1,40.874,-8.8,-18.832000000000004,68.5,72.4,-7.70,-16.48
,2625115,01/09/2025 16:46,01/10/2025 17:07,GBPJPY,Buy,0.010,192.30000,198.00000,194.17800,193.03200,0.0000,0.0500,-114.6,-5.89,-0.04,"",0,01:00:21:20,87.7,21h 21m,180.2,2.17,56.9,2.845,-123.3,-6.165,31.6,4.8,-171.50,-8.58
,2682137,01/10/2025 03:15,01/10/2025 15:30,AUDCAD,Sell,0.240,0.89100,0.88810,0.89210,0.88634,0.0000,0.0000,57.6,78.14,0.56,"from #2656342[tp]",100,00:12:15:05,52.0,6h 22m,11.0,0.19,57.6,78.33600000000001,-11.0,-14.96,84.0,100.0,0.00,0.00
,2656342,01/10/2025 03:15,01/10/2025 12:09,AUDCAD,Sell,0.110,0.00000,0.88810,0.89210,0.89087,0.0000,0.0000,12.3,7.64,0.05,"to #2682137",100,00:08:54:38,33.4,2h 58m,11.0,0.83,13.3,8.246,-11.0,-6.82,54.7,95.9,-1.00,-0.62
,2506743,01/08/2025 14:58,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,300.00,0,"PAMM/Deposit by MT4 #4004011 PA",0,00:00:00:00,,,,,,,,,,,,
